,Weather file wind speed | (m/s),Weather file ambient temperature | (C),Subarray 1 POA front total irradiance after shading and soiling | (W/m2),Irradiance GHI from weather file | (W/m2),Irradiance DNI from weather file | (W/m2),Inverter AC output power | (kW),Subarray 1 POA rear total irradiance after reflection (IAM) | (W/m2),Albedo
1/1/2022 0:00,1.46122,-10.3127,0,0,0.315377,-0.0086,0,0.99
1/1/2022 1:00,1.55508,-12.0558,0,0,0.439348,-0.0086,0,0.99
1/1/2022 2:00,0.916365,-13.1319,0,0,0.276817,-0.0086,0,0.99
1/1/2022 3:00,0.793712,-13.5668,0,0,0.418236,-0.0086,0,0.99
1/1/2022 4:00,0.565092,-14.4836,0,0,0.683536,-0.0086,0,0.99
1/1/2022 5:00,0.789073,-14.7128,0,0,0.410996,-0.0086,0,0.99
1/1/2022 6:00,0.803345,-14.6779,0,0,0.404365,-0.0086,0,0.99
1/1/2022 7:00,0.85031,-14.7491,9.01799,9.84528,0.473111,0.186446,5.7826,0.99
1/1/2022 8:00,0.541232,-14.366,68.1475,67.2775,0.61357,5.57257,30.9436,0.941576
1/1/2022 9:00,0.658062,-13.8649,82.5757,97.1235,1.04499,7.52279,47.1737,0.944699
1/1/2022 10:00,0.884127,-13.0805,161.805,182.37,1.17174,14.6245,82.1259,0.929309
1/1/2022 11:00,0.854774,-12.2011,260.607,263.002,28.0339,22.7078,113.358,0.907453
1/1/2022 12:00,0.820176,-11.656,346.043,341.965,80.3015,29.7937,140.776,0.899169
1/1/2022 13:00,0.522773,-9.09801,419.456,388.797,242.766,34.9306,138.989,0.88973
1/1/2022 14:00,0.647129,-9.46009,350.021,271.012,185.586,27.5847,87.2011,0.747716
1/1/2022 15:00,0.421807,-9.91473,412.765,169.605,406.925,10.861,23.1134,0.473237
1/1/2022 16:00,0.967179,-12.6009,150.613,29.4034,150.959,2.91254,4.29767,0.481119
1/1/2022 17:00,1.13678,-15.4358,0,0,0.617668,-0.0086,0,0.99
1/1/2022 18:00,0.978328,-16.2817,0,0,0.485584,-0.0086,0,0.99
1/1/2022 19:00,1.64087,-14.9719,0,0,0,-0.0086,0,0.99
1/1/2022 20:00,3.45669,-9.61631,0,0,0.000785167,-0.0086,0,0.99
1/1/2022 21:00,5.26359,-8.27602,0,0,0.0150928,-0.0086,0,0.99
1/1/2022 22:00,7.14599,-7.45983,0,0,0.00872423,-0.0086,0,0.99
1/1/2022 23:00,7.14539,-6.64903,0,0,0.00375143,-0.0086,0,0.99
1/2/2022 0:00,5.89921,-5.8729,0,0,0.0126594,-0.0086,0,0.99
1/2/2022 1:00,5.49799,-4.66592,0,0,0.0221597,-0.0086,0,0.99
1/2/2022 2:00,5.92871,-2.66407,0,0,0.0178848,-0.0086,0,0.99
1/2/2022 3:00,5.53581,-2.49917,0,0,0.0857594,-0.0086,0,0.99
1/2/2022 4:00,7.57118,-1.95848,0,0,0.10504,-0.0086,0,0.99
1/2/2022 5:00,7.69204,-2.16104,0,0,0.0193678,-0.0086,0,0.99
1/2/2022 6:00,7.79443,-1.68424,0,0,0.0007852,-0.0086,0,0.99
1/2/2022 7:00,5.89092,-1.17238,161.356,23.6721,226.708,0.866211,5.51819,0.914825
1/2/2022 8:00,4.34928,0.561662,569.948,163.872,727.765,7.7674,14.469,0.886737
1/2/2022 9:00,3.27816,2.72841,622.094,312.763,829.014,46.6997,94.3563,0.90674
1/2/2022 10:00,2.67714,5.41347,598.216,437.059,942.353,46.2885,119.842,0.895693
