,Sim,MBD_abs_power2,MBD_abs_power4,MBD_abs_power8,MBD_abs_power9,MBD_abs_Gfront2,MBD_abs_Gfront4,MBD_abs_Gfront8,MBD_abs_Gfront9,MBD_abs_Grear2,MBD_abs_Grear4,MBD_abs_Grear9,MBD_abs_Modtemp2,MBD_abs_Modtemp4,MBD_abs_Modtemp8,MBD_abs_Modtemp9
0,TMY2020,0.004810605745524421,-0.018722093735468043,0.005245952008416003,-0.0636301434217364,-9.346697931081525,-9.346697931081525,-9.346697931081525,14.220895501582573,-19.758335575417362,-19.261980127305062,-19.552066608138173,-3.907374045904519,-4.686177659630055,-4.5663340945948585,-4.2652354535954045
1,TMYA01,0.004657036368660208,-0.018853401561719985,0.005258104285411263,-0.06353230958601479,-9.32246221016716,-9.32246221016716,-9.32246221016716,14.241306963520143,-19.79498957038738,-19.2935530820349,-19.54994364933237,-3.905026219140553,-4.684106889633818,-4.564407093795918,-4.264155382621494
2,00,0.025741432889284096,0.0060582951526932955,0.02050629468331885,-0.03036213088982678,18.946638972041534,18.946638972041534,18.946638972041534,40.77888648729112,-15.715857363811315,-15.22758907731547,-15.39305365416728,-1.8242029020650874,-2.6841061156791475,-2.5781991787676914,-2.2327866194344206
3,A01,0.025931596399421886,0.006274129273019912,0.02052824446682741,-0.03010263500990935,18.969413600283428,18.969413600283428,18.969413600283428,40.7964659049725,-15.635357258818681,-15.130510785677718,-15.09920037957858,-1.8176619015479984,-2.6776261263345824,-2.577780461493084,-2.22878251346448
4,A02,0.02667296378551694,0.007079970734473937,0.020582623854254873,-0.029261367761099954,19.0324088439449,19.0324088439449,19.0324088439449,40.86689276651113,-14.624178531917256,-14.102113758778232,-13.991549068305062,-1.816293893148522,-2.6764329374010827,-2.5765583440551367,-2.227433331535354
5,A03,0.029460588767389172,0.010132386285016134,0.020714140075757122,-0.025905699726548558,19.1938278621784,19.1938278621784,19.1938278621784,41.03737014344829,-9.82294410396283,-9.234373523406129,-9.52913310357964,-1.8137034628423547,-2.6741747733626258,-2.5742444282566193,-2.2250043393705567
6,A04,0.024168121689116383,0.004248680362920131,0.02047134584230906,-0.03245977596201449,18.904686653026488,18.904686653026488,18.904686653026488,40.73369128515825,-19.71769790714162,-19.23664067621046,-18.558093448629663,-1.8507089736671412,-2.7104411954468253,-2.579321071594156,-2.2642026751052504
7,W01,0.023456887884674763,0.004360431985039922,0.01866425208482611,-0.030310869358029558,18.946638972041534,18.946638972041534,18.946638972041534,40.77888648729112,-15.715857363811315,-15.22758907731547,-15.39305365416728,-1.4923849101009223,-2.3938486997104214,-2.281587440031835,-1.935506094889696
8,W02,0.024687147781275075,0.005274938415539509,0.019660828046736484,-0.030334941858286738,18.946638972041534,18.946638972041534,18.946638972041534,40.77888648729112,-15.715857363811315,-15.22758907731547,-15.39305365416728,-1.6723496725159532,-2.5512728417534487,-2.442457248317649,-2.0972401037916164
9,W03,0.024489136309047563,0.005143140843646439,0.019550819692687092,-0.030326946206764696,18.946638972041534,18.946638972041534,18.946638972041534,40.77888648729112,-15.715857363811315,-15.22758907731547,-15.39305365416728,-1.6282146001384137,-2.5126661485561734,-2.403006834974623,-2.0584740763054357
10,T01,0.02592140939063461,0.006207676966674313,0.020711106127170503,-0.03036301034029564,18.946676712871447,18.946676712871447,18.946676712871447,40.77891198194938,-15.715847723164234,-15.227579361244889,-15.393047832550193,-1.8579899027207103,-2.7178931673047653,-2.611926604414839,-2.266583939256086
11,T02,0.025419267311411753,0.005794969189166223,0.020424999185287153,-0.030342541335727745,18.946409602653684,18.946409602653684,18.946409602653684,40.77882479859535,-15.716352544190494,-15.227624513429497,-15.393073260112494,-1.8119570531382854,-2.671860232190593,-2.5659831104112354,-2.2205355038214982
12,T03,0.026746547092983422,0.006882498566064278,0.021418339275961415,-0.030418456603064335,18.946815813033297,18.946815813033297,18.946815813033297,40.77889898389235,-15.715855277433668,-15.227586374916347,-15.393051390541446,-2.00099388801207,-2.8608971664799516,-2.7561300078801336,-2.4096155429963417
13,T04,0.026746547092983422,0.006882498566064278,0.021418339275961415,-0.030418456603064335,18.946815813033297,18.946815813033297,18.946815813033297,40.77889898389235,-15.715855277433668,-15.227586374916347,-15.393051390541446,-2.00099388801207,-2.8608971664799516,-2.7561300078801336,-2.4096155429963417
14,S01,0.024371293471541173,0.0043946138324466675,0.019169783953513764,-0.032369269071853564,17.35007385405852,17.35007385405852,17.35007385405852,39.30172056409025,-16.143069121571383,-15.648900350264672,-15.801790111815261,-1.9305454635381127,-2.7825082592100077,-2.6897000324668094,-2.3265800926702394
15,S02,0.024173854700649963,0.004388673704442558,0.01886728762397386,-0.03224152827456377,17.023599610780785,17.023599610780785,17.023599610780785,41.14904747980688,-15.827656936758475,-15.342151434624023,-15.501627892627072,-1.8646733070095187,-2.719635404987028,-2.6135439181315774,-2.260591377844267
16,S03,0.00552381714072291,-0.014927628956831052,-0.0007114070930946231,-0.05434652929130254,-5.37763444634529,-5.37763444634529,-5.37763444634529,12.25981039118104,-15.715857363811315,-15.22758907731547,-15.39305365416728,-2.183545093267805,-2.9984032282311457,-2.899403227390633,-2.6110880369362874
17,S04,0.02238711820345925,0.002591648924150448,0.016992734125034364,-0.03403279398743164,14.899651297273692,14.899651297273692,14.899651297273692,36.33522087249314,-15.715857363811315,-15.22758907731547,-15.39305365416728,-1.8841083431482601,-2.7368030784032515,-2.6313575156522675,-2.2830628540868223
18,S05,0.02103865414515344,0.0009629286757404976,0.015676909649947952,-0.03578110264799963,13.318114697750357,13.318114697750357,13.318114697750357,35.17052918609139,-16.143069121571383,-15.648900350264672,-15.801790111815261,-1.9853714747222928,-2.83226706884773,-2.740565670210927,-2.3759723513158315
19,S07,0.020784467853916376,0.0008806382734475966,0.015308922302307437,-0.03569026047209852,12.918765686032234,12.918765686032234,12.918765686032234,36.92741407272303,-15.827656936758475,-15.342151434624023,-15.501627892627072,-1.9258038175019998,-2.7734056999116956,-2.667797665748482,-2.3148689959395554
