,Sim,RMSE_power2,RMSE_power4,RMSE_power8,RMSE_power9,RMSE_Gfront2,RMSE_Gfront4,RMSE_Gfront8,RMSE_Gfront9,RMSE_Grear2,RMSE_Grear4,RMSE_Grear9,RMSE_Modtemp2,RMSE_Modtemp4,RMSE_Modtemp8,RMSE_Modtemp9
0,TMY2020,65.20378462860269,63.54045026480158,66.83590848717208,64.76825173630452,66.0948655183316,66.0948655183316,66.0948655183316,68.50457127010164,94.06491614064228,94.35211454612386,93.93056043009949,70.58964470885623,70.28064007757634,70.27059136340345,70.69001661208341
1,TMYA01,64.94715051228629,63.25899054406276,66.83579831857615,64.49184827208083,66.09112495845156,66.09112495845156,66.09112495845156,68.50153149629278,59.968477336766,59.43748282896828,60.297819176721255,70.60115683288572,70.28862554732565,70.27908046319887,70.70102902731317
2,00,15.495683300078925,11.147186852826684,16.784192921156745,23.858996452293034,12.204267655624756,12.204267655624756,12.204267655624756,19.261143317817755,44.1880001928918,43.00846813411526,44.83661452100671,49.190966714053594,49.172488687585854,49.22847459966364,50.36979244427794
3,A01,15.754463975004427,11.395938518043064,16.800832137704067,23.925048816663217,12.21715683422927,12.21715683422927,12.21715683422927,19.27141119501981,41.44666862128417,40.283448056170606,42.34449747917228,49.16084356727931,49.14164694380632,49.228184713772876,50.34746893865441
4,A02,15.839744600486327,11.420946314653666,16.80670279787952,23.905372528900532,12.225245999124445,12.225245999124445,12.225245999124445,19.28239650577017,38.60322828174178,37.46720360964851,39.64792112864922,49.16264521953738,49.14113507838046,49.22798262170851,50.348348601864295
5,A03,15.870430890299648,11.285673058446566,16.80653225961961,23.7531109984356,12.228332719817478,12.228332719817478,12.228332719817478,19.28375208651504,33.634206504659005,32.610611364054904,34.2697218594488,49.164179212981566,49.13860755745753,49.22599768677224,50.34616335789305
6,A04,15.372541028985355,11.1660210812035,16.77876460160961,23.911718403589884,12.202779697381734,12.202779697381734,12.202779697381734,19.265084038895303,50.74595706549929,49.6590894502671,52.43090077458997,49.33491273564552,49.31874832341616,49.228569303755506,50.501329700326245
7,W01,15.339394959602295,11.161207985256132,16.640896585964256,23.850609983142732,12.204267655624756,12.204267655624756,12.204267655624756,19.261143317817755,44.1880001928918,43.00846813411526,44.83661452100671,49.14875174737804,48.64103241626068,48.76354040418784,49.89758376287781
8,W02,15.417294878486489,11.148998645557958,16.721920285636717,23.855999806424947,12.204267655624756,12.204267655624756,12.204267655624756,19.261143317817755,44.1880001928918,43.00846813411526,44.83661452100671,49.08218737458171,48.858487763279655,48.94221784072433,50.073413671373416
9,W03,15.403667190197531,11.151436236316597,16.76859204116031,23.87315978575378,12.204267655624756,12.204267655624756,12.204267655624756,19.261143317817755,44.1880001928918,43.00846813411526,44.83661452100671,49.345151632939015,48.991194771695156,49.09282617524715,50.209950917463495
10,T01,15.511148138589686,11.151661184545612,16.892982624650053,23.870001403691134,12.204278552780016,12.204278552780016,12.204278552780016,19.261145440859888,44.187967720536,43.00843548504866,44.836595548032854,49.163528921002744,49.200047403716056,49.24784429477986,50.38822519937799
11,T02,15.393960145338225,11.087371581542364,16.775559915047946,23.86058355832013,12.204225883896141,12.204225883896141,12.204225883896141,19.261121289975875,44.19220797955653,43.00851787484038,44.83663807376332,49.247306386691584,49.21454777441062,49.27252722906494,50.413849544731406
12,T03,15.614269635544963,11.181693775604657,16.888257224378677,23.84040620707159,12.204355479180112,12.204355479180112,12.204355479180112,19.261108747078854,44.18800179203713,43.008470253989124,44.83661100970576,49.29501711314569,49.55615737688577,49.56621930533969,50.711502393391896
13,T04,15.614269635544963,11.181693775604657,16.888257224378677,23.84040620707159,12.204355479180112,12.204355479180112,12.204355479180112,19.261108747078854,44.18800179203713,43.008470253989124,44.83661100970576,49.29501711314569,49.55615737688577,49.56621930533969,50.711502393391896
14,S01,15.256772102973844,11.000819756783981,16.47090556155263,23.852930167549477,11.892088582118603,11.892088582118603,11.892088582118603,19.207538315113062,44.559793218278855,43.38628699204457,45.20772179441337,49.50067263262581,49.53397907278187,49.596994354499905,50.70692680595605
15,S02,15.46855690751719,11.193093553530911,16.645762875805907,23.882634243131058,12.037365300677106,12.037365300677106,12.037365300677106,20.554663877350766,44.472885290247774,43.29186532821516,45.11961453229655,49.17881105064775,49.2275381143996,49.275886020383524,50.717604741126365
16,S03,13.995255280282322,11.674435646544529,15.784313793910695,26.835273525454706,11.841064302814063,11.841064302814063,11.841064302814063,16.52422076435322,44.1880001928918,43.00846813411526,44.83661452100671,48.78981489232265,49.281846674215956,49.26929609203184,50.05343862071737
17,S04,15.55216141558233,11.446033178307964,16.836225098855117,23.721688784811626,12.390794144554118,12.390794144554118,12.390794144554118,19.613086055566427,44.1880001928918,43.00846813411526,44.83661452100671,49.26411422991662,49.298018219208394,49.34766895377785,50.48970054303217
18,S05,15.37734909939515,11.357757642257305,16.57754883317056,23.75005782427902,12.121431138144501,12.121431138144501,12.121431138144501,19.76068599199467,44.559793218278855,43.38628699204457,45.20772179441337,49.576682931617114,49.66569472494995,49.721685349067066,50.88502897563372
19,S07,15.552386921473023,11.523210869643595,16.71267135106117,23.761640558702442,12.245192704723221,12.245192704723221,12.245192704723221,21.204889273669153,44.472885290247774,43.29186532821516,45.11961453229655,49.26018737585883,49.36341952979669,49.40518390330361,50.92386275746028
