,Sim,RMSE_abs_power2,RMSE_abs_power4,RMSE_abs_power8,RMSE_abs_power9,RMSE_abs_Gfront2,RMSE_abs_Gfront4,RMSE_abs_Gfront8,RMSE_abs_Gfront9,RMSE_abs_Grear2,RMSE_abs_Grear4,RMSE_abs_Grear9,RMSE_abs_Modtemp2,RMSE_abs_Modtemp4,RMSE_abs_Modtemp8,RMSE_abs_Modtemp9
0,TMY2020,0.3143083411669996,0.32549098494138007,0.30654171893702203,0.3153402253313409,340.854084129567,340.854084129567,340.854084129567,353.2810410588237,54.423192460986115,54.57852086932659,54.109291548931246,12.404461145263493,12.350160886943351,12.348395063003716,12.42209913421772
1,TMYA01,0.3130040031172127,0.32397965719870536,0.30654121365069414,0.3138558823249823,340.83479390025724,340.83479390025724,340.83479390025724,353.265364813635,34.68442282920471,34.37730751051794,34.71253862157624,12.40648412888683,12.351564144455706,12.349886821589621,12.424034305833848
2,00,0.06787298254168811,0.05189200776222972,0.07026674830755011,0.10542995675588224,57.614646923417666,57.614646923417666,57.614646923417666,91.00712973586917,23.347858129934245,22.72462225033329,23.542677524191443,8.644149404903763,8.64090232861792,8.650740529021327,8.851300156659427
3,A01,0.06896217240419764,0.05301592490247485,0.07033640811464704,0.1056769612984272,57.67549493948766,57.67549493948766,57.67549493948766,91.05564451078259,22.145680922482484,21.514934146873017,22.20557923157358,8.638855974043247,8.635482621323128,8.650689588429639,8.84737732832851
4,A02,0.06933547213731146,0.053132265602715105,0.07036098553715914,0.10559005111837581,57.71368275972332,57.71368275972332,57.71368275972332,91.10754909319242,20.83744880860632,20.224239577054735,20.79170651159791,8.639172571832125,8.635392673076286,8.650654075527278,8.847531908340253
5,A03,0.06946979553999333,0.05250295044968633,0.07036027158153181,0.10491751180673291,57.72825473797703,57.72825473797703,57.72825473797703,91.11395408746924,17.881507393413624,17.333606929971108,17.98998550038317,8.639442134912574,8.634948521030875,8.650305270140958,8.847147903376833
6,A04,0.06765230653318552,0.05222576092830657,0.07024402273682155,0.10622674977556007,57.60762247990107,57.60762247990107,57.60762247990107,91.0257492803292,28.75891867086235,28.136842343495058,28.3500196453768,8.669444514961574,8.66660400167861,8.650757171026436,8.874414719546595
7,W01,0.06718842055115068,0.051957278464378184,0.06966684055114719,0.10539289798513221,57.614646923417666,57.614646923417666,57.614646923417666,91.00712973586917,23.347858129934245,22.72462225033329,23.542677524191443,8.636731122575878,8.54751145386214,8.56903933635106,8.768320645074647
8,W02,0.06752963169570207,0.05190044195856249,0.07000604494057332,0.10541671494812568,57.614646923417666,57.614646923417666,57.614646923417666,91.00712973586917,23.347858129934245,22.72462225033329,23.542677524191443,8.62503400780194,8.585724089923024,8.600437671449553,8.7992185944425
9,W03,0.06746994075910973,0.05191178934873711,0.0702014354793888,0.10549254277609776,57.614646923417666,57.614646923417666,57.614646923417666,91.00712973586917,23.347858129934245,22.72462225033329,23.542677524191443,8.671243759088263,8.609044209132914,8.626903525491551,8.823211787367484
10,T01,0.06794072042029109,0.05191283652013562,0.07072219461645077,0.10547858627608532,57.61469836736912,57.61469836736912,57.61469836736912,91.00713976704786,23.34784097233596,22.724604999365344,23.5426675619182,8.639327861471793,8.645745121422166,8.654144294990907,8.854539277572725
11,T02,0.06742742271885889,0.05161355773149405,0.07023060636910636,0.10543696998127661,57.614449724907814,57.614449724907814,57.614449724907814,91.00702565634333,23.350081421453666,22.724648532115413,23.542689891203533,8.654049770361858,8.648293218747412,8.65848173712641,8.859042150446221
12,T03,0.06839240515254698,0.05205264322374001,0.07070241180573826,0.1053478087596873,57.61506152618419,57.61506152618419,57.61506152618419,91.00696639230911,23.347858974883508,22.724623370422773,23.542675680487882,8.662433802537587,8.70832302989364,8.710091175930751,8.911347601354983
13,T04,0.06839240515254698,0.05205264322374001,0.07070241180573826,0.1053478087596873,57.61506152618419,57.61506152618419,57.61506152618419,91.00696639230911,23.347858974883508,22.724623370422773,23.542675680487882,8.662433802537587,8.70832302989364,8.710091175930751,8.911347601354983
14,S01,0.0675205186393896,0.05170900318638325,0.06975889719578922,0.1063742721647813,56.73702050688283,56.73702050688283,56.73702050688283,91.36131040043206,23.7765182244197,23.145402823153194,23.969187162020365,8.698572897885379,8.704425717296878,8.715499163223022,8.910543550041242
15,S02,0.0677541656342238,0.052105711084936474,0.06970236588196944,0.1057589433004234,56.82672416374565,56.82672416374565,56.82672416374565,97.85404935087043,23.493734452624366,22.869835886337118,23.691274336781248,8.64201333444988,8.65057596387698,8.659071965290586,8.91241994469485
16,S03,0.061300924838869945,0.05434643853991914,0.06608077074507766,0.11850627617388897,55.900014507604894,55.900014507604894,55.900014507604894,78.00838623359861,23.347858129934245,22.72462225033329,23.542677524191443,8.573656456447418,8.660119409277161,8.657913941184844,8.795708451548885
17,S04,0.06816415210960404,0.05331744545510752,0.07051523896540886,0.10482321177465016,58.50777506479714,58.50777506479714,58.50777506479714,92.61035385385371,23.347858129934245,22.72462225033329,23.542677524191443,8.657003351430024,8.6629611759746,8.671686118710051,8.87237117009396
18,S05,0.06803942458903461,0.053386778358174326,0.07021056131307875,0.10580215669351684,57.831211255168036,57.831211255168036,57.831211255168036,93.99237617136924,23.7765182244197,23.145402823153194,23.969187162020365,8.71192991086322,8.727571629084377,8.737410657517291,8.941840795590016
19,S07,0.06816514048783805,0.0536769514327712,0.07001298507014533,0.10529035624243226,57.8202633370294,57.8202633370294,57.8202633370294,100.68835982314408,23.493734452624366,22.869835886337118,23.691274336781248,8.656313299669828,8.674453910063116,8.681793011294744,8.948664914620194
